,data
Previous close,"1,760.35"
Open,"1,779.80"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"1,768.00 - 1,793.00"
52-week range,"875.65 - 1,804.20"
Volume,"13,580,404"
Avg. volume,"20,689,682"
Market cap,12.089T
Beta (5Y monthly),1.00
PE ratio (TTM),28.16
EPS (TTM),63.49
Earnings date,N/A
Forward dividend & yield,6.50 (0.37%)
Ex-dividend date,02-Jul-2020
1y target est,"1,268.86"
