,data
Previous close,28.00
Open,28.20
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,27.90 - 28.30
52-week range,5.65 - 114.65
Volume,"9,241,543"
Avg. volume,"33,651,504"
Market cap,352.041B
Beta (5Y monthly),1.34
PE ratio (TTM),N/A
EPS (TTM),-56.11
Earnings date,15-Jul-2020 - 20-Jul-2020
Forward dividend & yield,N/A (N/A)
Ex-dividend date,04-Jun-2019
1y target est,282.14
