,0,1,2
17-Jun-2010,1.8, ,Dividend
30-Jun-2011,2, ,Dividend
05-Jul-2012,2.2, ,Dividend
17-Jun-2013,3, ,Dividend
16-Jun-2014,3.5, ,Dividend
07-Aug-2015,4, ,Dividend
23-Jun-2016,4.5, ,Dividend
18-Jul-2017,6, ,Dividend
13-Jun-2018,7.5, ,Dividend
