,31/3/2019,31/3/2018,31/3/2017
Total assets,"2,77,82,07,000","2,21,62,77,770","1,78,64,84,138"
Total liabilities,"2,51,13,34,548","1,97,78,45,177","1,58,00,22,929"
Common stock,"60,26,869","60,02,232","59,81,487"
Retained earnings,"11,10,82,122","9,31,31,072","7,11,83,807"
Total stockholders' equity,"26,68,72,452","23,84,32,593","20,64,61,209"
Total liabilities and stockholders' equity,"2,77,82,07,000","2,21,62,77,770","1,78,64,84,138"
