,data
Previous close,494.80
Open,499.85
Bid,487.20 x 0
Ask,0.00 x 0
Day's range,484.35 - 500.00
52-week range,"235.55 - 1,596.55"
Volume,"15,625,213"
Avg. volume,"29,570,461"
Market cap,337.905B
Beta (5Y monthly),1.34
PE ratio (TTM),7.60
EPS (TTM),64.10
Earnings date,N/A
Forward dividend & yield,7.50 (1.52%)
Ex-dividend date,08-Aug-2019
1y target est,"2,112.73"
