,0,1,2
09-Sep-2010,13.75, ,Dividend
25-Nov-2010,5:1, ,Stock split
02-Sep-2011,3.5, ,Dividend
14-Aug-2012,4.25, ,Dividend
19-Sep-2013,2.5, ,Dividend
08-Sep-2016,1, ,Dividend
17-Sep-2018,2, ,Dividend
17-Feb-2020,3, ,Dividend
