,data
Previous close,473.00
Open,477.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,472.00 - 479.35
52-week range,312.00 - 512.70
Volume,"4,665,446"
Avg. volume,"12,954,845"
Market cap,1.144T
Beta (5Y monthly),0.29
PE ratio (TTM),30.39
EPS (TTM),15.69
Earnings date,N/A
Forward dividend & yield,5.75 (1.22%)
Ex-dividend date,17-Feb-2020
1y target est,567.59
