,data
Previous close,362.85
Open,364.65
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,359.80 - 367.15
52-week range,268.30 - 552.20
Volume,"28,772,167"
Avg. volume,"46,585,484"
Market cap,2.336T
Beta (5Y monthly),1.05
PE ratio (TTM),24.81
EPS (TTM),14.55
Earnings date,N/A
Forward dividend & yield,1.00 (0.28%)
Ex-dividend date,23-Jul-2019
1y target est,398.27
