,Most-recent transaction,Date,Shares owned as of transaction date
Bakhshi (Sandeep),Other,25-Jun-2020,"510,505"
Birwade (Swati Mehta),Sale,24-Jun-2020,"11,577"
Chougule (Sanjay R),Sale,24-Jun-2020,"75,117"
Gupta (Rakhee Bansal),Sale,22-Jun-2020,"10,000"
Subramaniam (Subhash),Sale,30-Jun-2020,"5,500"
Suresh (P),Other,04-Jun-2020,"133,000"
Trivedi (Praveen),Sale,30-Jun-2020,"178,950"
Uttamchandani (Rakesh),Other,19-Jun-2020,2
