,Most-recent transaction,Date,Shares owned as of transaction date
Bijapurkar (Rama),Acquisition,16-Apr-2010,500
Datta (B K),Acquisition,01-Aug-2011,20
Govt of India,Sale,10-Oct-2019,"1,149,183,592"
Life Insurance Corporation of India,Acquisition,04-Apr-2014,"39,886,223"
