,0,1,2
08-Sep-2010,14, ,Dividend
05-Sep-2011,14, ,Dividend
13-Jul-2012,2:1, ,Stock split
06-Sep-2013,11, ,Dividend
28-Aug-2015,22.5, ,Dividend
03-Mar-2016,3.5, ,Dividend
02-Feb-2016,12.5, ,Dividend
13-Jul-2016,2:1, ,Stock split
06-Jun-2016,15, ,Dividend
13-Jul-2017,3:2, ,Stock split
22-Feb-2018,14, ,Dividend
31-Aug-2018,7, ,Dividend
21-Feb-2019,11, ,Dividend
