,data
Previous close,"18,353.60"
Open,"18,353.60"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"18,353.60 - 19,249.00"
52-week range,"12,450.10 - 23,450.00"
Volume,"250,454"
Avg. volume,"259,376"
Market cap,518.337B
Beta (5Y monthly),0.70
PE ratio (TTM),28.37
EPS (TTM),669.19
Earnings date,N/A
Forward dividend & yield,250.00 (1.36%)
Ex-dividend date,19-Mar-2020
1y target est,N/A
