,data
Previous close,"3,914.95"
Open,"3,926.00"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"3,875.00 - 3,960.00"
52-week range,"2,910.00 - 4,754.10"
Volume,"257,350"
Avg. volume,"624,437"
Market cap,1.122T
Beta (5Y monthly),0.78
PE ratio (TTM),19.30
EPS (TTM),201.55
Earnings date,N/A
Forward dividend & yield,11.50 (0.29%)
Ex-dividend date,10-Jul-2019
1y target est,"3,994.63"
