,0,1,2
21-Jun-2010,6, ,Dividend
17-Aug-2012,8, ,Dividend
17-Jul-2013,9, ,Dividend
24-Jul-2014,9, ,Dividend
14-Aug-2015,9, ,Dividend
04-Jul-2016,9.5, ,Dividend
10-Jul-2017,10, ,Dividend
10-Jul-2019,11.5, ,Dividend
