,Most-recent transaction,Date,Shares owned as of transaction date
Banerjee (Kalyan M.),Sale,28-May-2019,"263,910"
Chandiramani (Rachna Kishore),Acquisition,13-Aug-2019,"6,580"
Hilloo (Farokh),Other,30-Jan-2020,"22,207"
Nerka Chemicals Pvt Ltd,Acquisition,21-Jun-2019,"102,397,927"
Premnath (Ajit),Other,30-Jan-2020,"8,500"
Premnath (Neerja),Acquisition,13-Aug-2019,"1,000"
Sagar (Shilpa P),Sale,20-Mar-2019,"2,258,962"
Singh (Hardeep),Sale,22-Mar-2019,"32,538"
Vora (Anand K),Other,30-Jan-2020,"25,200"
