,Most-recent transaction,Date,Shares owned as of transaction date
Chokhani (Manish),Acquisition,06-Sep-2018,"100,000"
Cyquator Media Services Pvt. Ltd.,Sale,31-Dec-2019,"8,807,136"
Essel Media Ventures Pvt Ltd,Sale,21-Nov-2019,"1,968,700"
Khan (Mohammed Y),Acquisition,10-Apr-2013,"40,000"
Misra (Punit),Sale,22-Jul-2019,"33,045"
Noon (Lord Gulam),Sale,04-Aug-2015,"30,000"
Oppenheimer Developing Markets Fund,Acquisition,02-Apr-2013,"134,870,340"
Vaidyanathan (Ravi),Sale,14-Nov-2014,"5,000"
