,data
Previous close,"2,879.35"
Open,"2,899.00"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"2,887.60 - 2,960.00"
52-week range,"1,788.65 - 3,315.15"
Volume,"1,394,784"
Avg. volume,"886,868"
Market cap,845.417B
Beta (5Y monthly),0.87
PE ratio (TTM),16.28
EPS (TTM),180.18
Earnings date,N/A
Forward dividend & yield,180.00 (6.25%)
Ex-dividend date,03-Mar-2020
1y target est,"2,857.20"
