,0,1,2
05-Feb-2010,10, ,Dividend
09-Jun-2010,20, ,Dividend
24-May-2012,35, ,Dividend
28-May-2013,41.5, ,Dividend
11-Mar-2014,15, ,Dividend
20-Nov-2014,10:1, ,Stock split
28-May-2015,3.5, ,Dividend
03-Jun-2016,2.6, ,Dividend
