,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total assets,"41,97,49,23,443","38,88,46,70,631","36,16,43,30,029","34,45,12,15,602"
Total liabilities,"39,38,48,83,981","36,47,93,44,113","33,81,49,58,122","32,21,44,87,654"
Common stock,"89,24,612","89,24,612","89,24,588","79,73,504"
Retained earnings,"-1,36,17,425","-8,32,83,999","-9,94,11,994","-4,34,00,396"
Total stockholders' equity,"2,51,06,01,242","2,34,49,56,605","2,30,32,19,456","2,17,19,21,490"
Total liabilities and stockholders' equity,"41,97,49,23,443","38,88,46,70,631","36,16,43,30,029","34,45,12,15,602"
