,0,1,2
29-Jun-2010,36, ,Dividend
18-Aug-2010,5:1, ,Stock split
22-Jun-2011,9, ,Dividend
27-Jun-2013,12.5, ,Dividend
04-Jul-2014,14, ,Dividend
15-Jul-2015,13, ,Dividend
30-Mar-2016,3, ,Dividend
15-Jul-2016,14, ,Dividend
14-Jul-2017,15, ,Dividend
15-Mar-2019,3.5, ,Dividend
22-Jul-2019,17.5, ,Dividend
19-Jul-2019,17.5, ,Dividend
