,data
Previous close,"1,889.45"
Open,"1,905.55"
Bid,0.00 x 0
Ask,"1,885.20 x 0"
Day's range,"1,867.30 - 1,908.00"
52-week range,"1,473.45 - 2,499.90"
Volume,"4,428,122"
Avg. volume,"6,971,863"
Market cap,3.27T
Beta (5Y monthly),0.76
PE ratio (TTM),15.30
EPS (TTM),123.19
Forward dividend & yield,21.00 (1.11%)
Ex-dividend date,09-Jul-2020
1y target est,"2,115.61"
