,Most-recent transaction,Date,Shares owned as of transaction date
Bajaj Dinesh,Other,25-Jun-2020,"30,296"
Infosys Employee Benefits Trust,Sale,10-Jun-2020,"17,809,235"
Kamath (U Ramadas),Sale,04-Jun-2020,110
Kapoor (Anup),Other,11-Jun-2020,"8,685"
Mallik (Subhro),Acquisition,10-Jun-2020,"5,168"
Purohit (Vijayeendra S),Sale,08-Jun-2020,"88,098"
Sundaresan (Narayan Vijay),Other,03-Jun-2020,"1,900"
Swaminathan (Anand),Other,03-Jun-2020,"33,005"
Vaswani (Karmesh Gul),Other,03-Jun-2020,"13,625"
