,data
Previous close,"6,188.80"
Open,"6,220.00"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"6,128.00 - 6,238.30"
52-week range,"3,985.30 - 9,950.00"
Volume,"832,594"
Avg. volume,"1,216,660"
Market cap,978.646B
Beta (5Y monthly),1.02
PE ratio (TTM),29.05
EPS (TTM),211.70
Earnings date,N/A
Forward dividend & yield,7.50 (0.12%)
Ex-dividend date,03-Mar-2020
1y target est,"6,343.38"
