,data
Previous close,"5,948.45"
Open,"5,948.45"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"5,883.05 - 5,988.60"
52-week range,"4,001.10 - 7,758.70"
Volume,"1,059,643"
Avg. volume,"1,789,728"
Market cap,1.792T
Beta (5Y monthly),0.91
PE ratio (TTM),31.56
EPS (TTM),187.95
Forward dividend & yield,60.00 (1.01%)
Ex-dividend date,13-Aug-2020
1y target est,"8,266.72"
