,data
Previous close,194.45
Open,195.70
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,190.50 - 196.50
52-week range,132.50 - 296.75
Volume,"6,607,187"
Avg. volume,"11,454,747"
Market cap,458.841B
Beta (5Y monthly),0.95
PE ratio (TTM),11.45
EPS (TTM),16.67
Earnings date,N/A
Forward dividend & yield,2.00 (1.03%)
Ex-dividend date,06-Jul-2020
1y target est,N/A
