,data
Previous close,346.80
Open,350.20
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,348.65 - 366.80
52-week range,203.00 - 428.85
Volume,"9,299,716"
Avg. volume,"4,137,318"
Market cap,732.347B
Beta (5Y monthly),1.02
PE ratio (TTM),19.64
EPS (TTM),18.35
Earnings date,N/A
Forward dividend & yield,3.40 (0.98%)
Ex-dividend date,16-Mar-2020
1y target est,424.75
