,data
Previous close,175.10
Open,176.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,175.10 - 179.40
52-week range,122.15 - 216.25
Volume,"12,779,963"
Avg. volume,"11,571,806"
Market cap,928.599B
Beta (5Y monthly),0.23
PE ratio (TTM),8.40
EPS (TTM),21.14
Earnings date,N/A
Forward dividend & yield,8.46 (4.83%)
Ex-dividend date,16-Mar-2020
1y target est,236.59
