,Most-recent transaction,Date,Shares owned as of transaction date
Jain (Sandeep Kumar),Sale,16-May-2014,"5,000"
Krishna Moorthy (R),Acquisition,28-Mar-2013,286
Life Insurance Corporation of India,Acquisition,28-Nov-2011,"231,667,824"
Mittal (Ajay Kumar),Acquisition,29-Jan-2013,297
Parihar (J K),Sale,16-Jan-2015,728
