,data
Previous close,558.45
Open,561.80
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,560.60 - 583.45
52-week range,321.15 - 612.00
Volume,"20,606,013"
Avg. volume,"20,377,768"
Market cap,3.171T
Beta (5Y monthly),0.69
PE ratio (TTM),N/A
EPS (TTM),-63.41
Earnings date,N/A
Forward dividend & yield,N/A (N/A)
Ex-dividend date,05-Nov-2018
1y target est,N/A
