,Most-recent transaction,Date,Shares owned as of transaction date
Bagri (Badal),Other,05-Jun-2020,"9,169"
Bharti Airtel Employee Welfare Trust,Acquisition,23-Dec-2019,"2,142,345"
Bharti Telecom Ltd,Sale,26-May-2020,"1,966,236,438"
Goenka (Ashish),Sale,22-Jun-2020,16
Gulati (Vidyut),Other,19-Jun-2020,"5,991"
Gupta (Sandeep),Sale,26-Jun-2020,"11,410"
Nath (Vir Inder),Other,09-Dec-2019,"24,575"
Puri (Ajai),Sale,04-Dec-2019,"2,371"
Relan (Rohit),Sale,12-Mar-2020,"3,516"
