Date,Instrument,Open,High,Low,Close
2008-01-01 10:00:00,NIFTY,6114.05,6123.35,6114.05,6123.35
2008-01-01 10:30:00,NIFTY,6134.85,6135.35,6134.35,6135.3
2008-01-01 11:00:00,NIFTY,6136.15,6136.4,6133.05,6133.05
2008-01-01 11:30:00,NIFTY,6135.15,6135.15,6134.2,6134.65
2008-01-01 12:00:00,NIFTY,6141.6,6142.15,6141.05,6141.05
2008-01-01 12:30:00,NIFTY,6154.4,6155.15,6153.35,6153.35
2008-01-01 13:00:00,NIFTY,6158.05,6159.15,6158.05,6158.3
2008-01-01 13:30:00,NIFTY,6157.6,6157.9,6156.8,6157.65
2008-01-01 14:00:00,NIFTY,6156.05,6156.7,6155.2,6156.4
2008-01-01 14:30:00,NIFTY,6138.1,6138.4,6136.2,6136.2
2008-01-01 15:00:00,NIFTY,6132.3,6134.0,6132.3,6132.65
2008-01-02 10:00:00,NIFTY,6163.8,6170.75,6163.7,6170.75
2008-01-02 10:30:00,NIFTY,6088.85,6090.5,6087.5,6089.65
2008-01-02 11:00:00,NIFTY,6092.65,6093.6,6089.6,6091.05
2008-01-02 11:30:00,NIFTY,6070.15,6071.25,6064.55,6064.55
2008-01-02 12:00:00,NIFTY,6088.2,6089.15,6088.2,6088.65
2008-01-02 12:30:00,NIFTY,6106.1,6108.15,6106.1,6107.75
2008-01-02 13:00:00,NIFTY,6092.35,6092.55,6091.8,6091.85
2008-01-02 13:30:00,NIFTY,6105.7,6106.45,6103.45,6106.05
2008-01-02 14:00:00,NIFTY,6142.4,6146.1,6142.4,6145.85
2008-01-02 14:30:00,NIFTY,6172.05,6179.0,6172.05,6179.0
2008-01-02 15:00:00,NIFTY,6190.15,6191.9,6187.6,6188.25
2008-01-03 10:00:00,NIFTY,6177.1,6177.1,6172.3,6173.65
2008-01-03 10:30:00,NIFTY,6206.4,6207.3,6206.0,6206.0
2008-01-03 11:00:00,NIFTY,6201.1,6203.55,6199.8,6202.0
2008-01-03 11:30:00,NIFTY,6213.8,6215.55,6210.1,6214.6
2008-01-03 12:00:00,NIFTY,6220.25,6221.85,6220.05,6220.05
2008-01-03 12:30:00,NIFTY,6215.95,6217.75,6215.45,6217.75
2008-01-03 13:00:00,NIFTY,6191.55,6193.0,6191.35,6191.95
2008-01-03 13:30:00,NIFTY,6184.4,6184.4,6177.3,6177.9
2008-01-03 14:00:00,NIFTY,6192.8,6194.35,6191.75,6193.6
2008-01-03 14:30:00,NIFTY,6173.25,6178.6,6171.85,6178.6
2008-01-03 15:00:00,NIFTY,6187.05,6188.45,6185.75,6185.75
2008-01-04 10:00:00,NIFTY,6232.35,6232.4,6228.0,6228.0
2008-01-04 10:30:00,NIFTY,6246.9,6248.0,6244.0,6244.8
2008-01-04 11:00:00,NIFTY,6256.3,6258.15,6255.8,6258.05
2008-01-04 11:30:00,NIFTY,6248.75,6249.65,6247.95,6248.5
2008-01-04 12:00:00,NIFTY,6251.9,6254.05,6251.9,6253.45
2008-01-04 12:30:00,NIFTY,6257.85,6260.1,6257.5,6260.1
2008-01-04 13:00:00,NIFTY,6269.35,6270.75,6269.25,6270.45
2008-01-04 13:30:00,NIFTY,6269.15,6270.15,6268.7,6269.9
2008-01-04 14:00:00,NIFTY,6275.25,6276.95,6275.25,6276.85
2008-01-04 14:30:00,NIFTY,6284.5,6286.55,6284.5,6285.95
2008-01-04 15:00:00,NIFTY,6285.8,6289.65,6285.8,6289.65
2008-01-07 10:00:00,NIFTY,6220.3,6221.65,6220.1,6220.15
2008-01-07 10:30:00,NIFTY,6252.8,6252.8,6246.3,6248.55
2008-01-07 11:00:00,NIFTY,6249.6,6253.35,6249.6,6253.35
2008-01-07 11:30:00,NIFTY,6256.8,6259.05,6256.75,6259.05
2008-01-07 12:00:00,NIFTY,6273.7,6273.7,6272.85,6273.45
2008-01-07 12:30:00,NIFTY,6259.3,6259.3,6254.5,6254.7
2008-01-07 13:00:00,NIFTY,6245.2,6245.9,6245.2,6245.5
2008-01-07 13:30:00,NIFTY,6269.05,6270.8,6268.5,6270.8
2008-01-07 14:00:00,NIFTY,6267.7,6272.15,6267.7,6272.15
2008-01-07 14:30:00,NIFTY,6287.55,6288.1,6287.05,6287.05
2008-01-07 15:00:00,NIFTY,6282.45,6282.5,6278.05,6278.7
2008-01-08 10:00:00,NIFTY,6342.45,6344.35,6342.05,6344.2
2008-01-08 10:30:00,NIFTY,6330.2,6330.2,6327.45,6329.45
2008-01-08 11:00:00,NIFTY,6296.3,6296.3,6290.8,6290.8
2008-01-08 11:30:00,NIFTY,6285.65,6286.2,6281.55,6281.8
2008-01-08 12:00:00,NIFTY,6300.6,6302.45,6300.25,6301.75
2008-01-08 12:30:00,NIFTY,6308.05,6308.05,6303.05,6303.05
2008-01-08 13:00:00,NIFTY,6319.55,6321.2,6319.55,6320.95
2008-01-08 13:30:00,NIFTY,6271.2,6271.2,6263.95,6263.95
2008-01-08 14:00:00,NIFTY,6249.25,6253.4,6249.25,6251.7
2008-01-08 14:30:00,NIFTY,6240.8,6240.8,6234.35,6234.35
2008-01-08 15:00:00,NIFTY,6276.75,6276.85,6275.05,6275.1
2008-01-10 10:00:00,NIFTY,6305.9,6307.35,6303.0,6303.0
2008-01-10 10:30:00,NIFTY,6300.45,6300.45,6297.95,6300.1
2008-01-10 11:00:00,NIFTY,6330.3,6332.35,6330.1,6332.1
2008-01-10 11:30:00,NIFTY,6343.15,6346.2,6342.7,6346.2
2008-01-10 12:00:00,NIFTY,6306.4,6308.95,6306.25,6308.95
2008-01-10 12:30:00,NIFTY,6293.3,6294.15,6293.3,6293.8
2008-01-10 13:00:00,NIFTY,6301.05,6303.85,6301.05,6303.65
2008-01-10 13:30:00,NIFTY,6302.15,6303.4,6302.05,6302.55
2008-01-10 14:00:00,NIFTY,6267.35,6267.35,6259.4,6259.4
2008-01-10 14:30:00,NIFTY,6242.2,6243.05,6241.8,6242.7
2008-01-10 15:00:00,NIFTY,6183.9,6189.9,6183.9,6189.9
2008-01-11 10:00:00,NIFTY,6171.3,6171.3,6156.7,6156.7
2008-01-11 10:30:00,NIFTY,6171.15,6172.0,6170.45,6171.45
2008-01-11 11:00:00,NIFTY,6188.7,6188.7,6186.45,6186.45
2008-01-11 11:30:00,NIFTY,6160.55,6163.1,6160.3,6163.1
2008-01-11 12:00:00,NIFTY,6205.55,6205.75,6203.4,6203.4
2008-01-11 12:30:00,NIFTY,6145.95,6145.95,6139.65,6140.2
2008-01-11 13:00:00,NIFTY,6127.4,6127.4,6125.55,6126.5
2008-01-11 13:30:00,NIFTY,6123.45,6130.35,6123.45,6129.1
2008-01-11 14:00:00,NIFTY,6156.2,6161.65,6156.2,6161.65
2008-01-11 14:30:00,NIFTY,6181.7,6181.7,6177.5,6179.8
2008-01-11 15:00:00,NIFTY,6167.7,6172.4,6167.7,6172.4
2008-01-14 10:00:00,NIFTY,6218.95,6231.35,6218.95,6231.35
2008-01-14 10:30:00,NIFTY,6188.35,6193.65,6188.35,6193.2
2008-01-14 11:00:00,NIFTY,6215.6,6215.65,6212.6,6213.4
2008-01-14 11:30:00,NIFTY,6218.3,6218.7,6216.95,6217.75
2008-01-14 12:00:00,NIFTY,6207.75,6207.75,6206.2,6206.7
2008-01-14 12:30:00,NIFTY,6195.25,6195.7,6194.3,6195.2
2008-01-14 13:00:00,NIFTY,6204.0,6206.4,6204.0,6206.4
2008-01-14 13:30:00,NIFTY,6194.65,6195.75,6192.85,6192.85
2008-01-14 14:00:00,NIFTY,6184.5,6184.65,6183.25,6183.25
2008-01-14 14:30:00,NIFTY,6186.8,6188.3,6186.0,6188.3
2008-01-14 15:00:00,NIFTY,6222.3,6223.9,6221.35,6222.5
2008-01-15 10:00:00,NIFTY,6229.75,6230.55,6223.4,6224.25
2008-01-15 10:30:00,NIFTY,6196.4,6196.4,6189.65,6190.15
2008-01-15 11:00:00,NIFTY,6165.35,6166.35,6163.65,6164.35
2008-01-15 11:30:00,NIFTY,6173.8,6176.3,6173.8,6175.45
2008-01-15 12:00:00,NIFTY,6142.85,6143.25,6141.05,6141.05
2008-01-15 12:30:00,NIFTY,6137.1,6138.55,6136.85,6138.35
2008-01-15 13:00:00,NIFTY,6135.95,6135.95,6133.9,6134.45
2008-01-15 13:30:00,NIFTY,6145.95,6145.95,6144.4,6144.4
2008-01-15 14:00:00,NIFTY,6156.25,6156.9,6156.0,6156.9
2008-01-15 14:30:00,NIFTY,6134.05,6137.65,6133.7,6136.45
2008-01-15 15:00:00,NIFTY,6105.45,6108.65,6103.65,6108.65
2008-01-16 10:00:00,NIFTY,5976.05,5977.7,5972.85,5972.85
2008-01-16 10:30:00,NIFTY,5932.25,5934.25,5930.75,5934.25
2008-01-16 11:00:00,NIFTY,5960.95,5963.05,5960.95,5961.7
2008-01-16 11:30:00,NIFTY,5964.4,5965.35,5964.35,5965.35
2008-01-16 12:00:00,NIFTY,5932.75,5933.3,5931.95,5932.75
2008-01-16 12:30:00,NIFTY,5899.45,5899.8,5898.25,5898.4
2008-01-16 13:00:00,NIFTY,5920.25,5922.5,5920.25,5922.5
2008-01-16 13:30:00,NIFTY,5887.65,5891.45,5887.65,5891.45
2008-01-16 14:00:00,NIFTY,5887.7,5888.65,5887.3,5887.5
2008-01-16 14:30:00,NIFTY,5827.2,5830.35,5826.9,5830.35
2008-01-16 15:00:00,NIFTY,5924.85,5926.55,5921.1,5923.05
2008-01-17 10:00:00,NIFTY,5934.8,5943.0,5934.8,5941.8
2008-01-17 10:30:00,NIFTY,5922.0,5924.1,5921.55,5922.45
