,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total assets,"2,51,38,41,900","2,08,54,87,100","1,59,12,61,400","1,28,61,72,700"
Total liabilities,"2,00,52,27,900","1,71,97,51,400","1,26,89,65,100","1,05,26,61,100"
Common stock,"7,95,700","7,95,700","7,95,700","7,95,700"
Retained earnings,"17,25,49,100","14,94,87,500","12,60,26,400","10,33,36,700"
Total stockholders' equity,"31,30,12,500","23,76,59,200","21,18,26,100","16,15,03,300"
Total liabilities and stockholders' equity,"2,51,38,41,900","2,08,54,87,100","1,59,12,61,400","1,28,61,72,700"
