,0,1,2
05-Jul-2012,45, ,Dividend
04-Jul-2013,45, ,Dividend
03-Jul-2014,50, ,Dividend
16-Mar-2016,50, ,Dividend
14-Jul-2016,5, ,Dividend
06-Jul-2017,55, ,Dividend
11-Jul-2019,60, ,Dividend
