,Most-recent transaction,Date,Shares owned as of transaction date
Asish Creations Pvt. Ltd.,Other,28-Sep-2016,"210,737"
Bangur (Benu Gopal),Gift,16-Mar-2019,"10,221"
Bangur (Harimohan),Purchase,15-Mar-2019,"505,888"
Bangur (Prashant),Gift,16-Mar-2019,"389,750"
Bangur (Ranu),Gift,16-Mar-2019,"63,700"
Jain (Riya Puja),Acquisition,14-Aug-2012,"2,050"
Maheshwari (Padma Devi),Sale,18-Nov-2013,600
Sharma (Ramakant),Other,27-Dec-2013,25
Singhi (Mahendra Kumar),Sale,21-Jul-2010,"4,151"
