,data
Previous close,"16,789.35"
Open,"16,813.80"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"16,650.00 - 16,990.00"
52-week range,"11,265.00 - 18,369.90"
Volume,"181,646"
Avg. volume,"165,568"
Market cap,1.61T
Beta (5Y monthly),0.19
PE ratio (TTM),79.20
EPS (TTM),210.79
Earnings date,N/A
Forward dividend & yield,244.00 (1.45%)
Ex-dividend date,11-Jun-2020
1y target est,N/A
