,31/3/2019,31/3/2018,31/3/2017
Total assets,"6,60,87,51,200","5,62,70,12,600","4,73,15,81,000"
Total liabilities,"5,42,89,66,000","4,71,46,22,100","4,09,62,62,200"
Common stock,"34,42,900","33,51,800","31,77,300"
Retained earnings,"41,38,14,100","28,87,16,600","21,27,85,200"
Total stockholders' equity,"1,11,73,31,400","86,54,14,000","60,05,93,100"
Total liabilities and stockholders' equity,"6,60,87,51,200","5,62,70,12,600","4,73,15,81,000"
