,data
Previous close,88.35
Open,88.40
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,87.20 - 89.10
52-week range,71.15 - 156.00
Volume,"9,981,397"
Avg. volume,"17,296,732"
Market cap,827.034B
Beta (5Y monthly),0.73
PE ratio (TTM),N/A
EPS (TTM),-0.97
Forward dividend & yield,5.25 (5.94%)
Ex-dividend date,23-Mar-2020
1y target est,163.72
