,Most-recent transaction,Date,Shares owned as of transaction date
Birla (Kumar Mangalam),Acquisition,18-Mar-2020,"586,993"
Grasim Employees Welfare Trust,Acquisition,28-Mar-2019,"1,357,375"
Gupta (Adesh Kumar),Sale,26-Jun-2020,"134,627"
IGH Holdings Pvt Ltd,Acquisition,21-Nov-2019,"33,628,393"
Jain (Pavan Kumar),Other,24-Oct-2019,"16,813"
Maheshwari (Krishna Kishore),Other,24-Oct-2019,"248,935"
Malik (Mukesh),Sale,25-Jun-2020,"4,500"
Narayanan (Raj E R),Other,02-May-2019,"7,329"
Varghese (Thomas),Sale,29-Nov-2019,"2,780"
