,Most-recent transaction,Date,Shares owned as of transaction date
Bhagavatula (Sudhakar Ananda),Sale,13-Feb-2020,605
Brar (Abhihit Singh),Sale,25-Nov-2019,453
Datta (Anupam),Sale,27-Dec-2019,"2,083"
Lakshmipathy (T),Sale,17-Dec-2019,100
Singh (Rudratej),Sale,26-Nov-2019,"3,511"
Taneja (Dinesh Kumar),Sale,29-Nov-2019,"1,700"
