,data
Previous close,"2,151.75"
Open,"2,165.50"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"2,156.35 - 2,188.00"
52-week range,"1,659.05 - 2,614.30"
Volume,"1,945,723"
Avg. volume,"7,896,617"
Market cap,5.108T
Beta (5Y monthly),0.05
PE ratio (TTM),69.73
EPS (TTM),31.17
Earnings date,N/A
Forward dividend & yield,25.00 (1.16%)
Ex-dividend date,19-Jun-2020
1y target est,N/A
