,0,1,2
08-Jul-2010,3.5, ,Dividend
01-Nov-2010,3, ,Dividend
08-Jul-2011,3.5, ,Dividend
04-Nov-2011,3.5, ,Dividend
04-Jul-2012,4, ,Dividend
01-Nov-2012,4.5, ,Dividend
10-Jul-2013,6, ,Dividend
31-Oct-2013,5.5, ,Dividend
11-Jun-2014,7.5, ,Dividend
31-Oct-2014,6, ,Dividend
19-Jun-2015,9, ,Dividend
22-Jun-2016,9.5, ,Dividend
01-Nov-2016,7, ,Dividend
22-Jun-2017,10, ,Dividend
01-Nov-2017,8, ,Dividend
21-Jun-2018,12, ,Dividend
20-Jun-2019,13, ,Dividend
23-Oct-2019,11, ,Dividend
