,data
Previous close,185.45
Open,186.65
Bid,184.70 x 0
Ask,0.00 x 0
Day's range,183.40 - 186.85
52-week range,149.45 - 373.80
Volume,"38,019,673"
Avg. volume,"65,692,605"
Market cap,1.648T
Beta (5Y monthly),0.89
PE ratio (TTM),8.34
EPS (TTM),22.15
Forward dividend & yield,N/A (N/A)
Ex-dividend date,26-May-2017
1y target est,348.98
