,Most-recent transaction,Date,Shares owned as of transaction date
Government of India,Sale,20-Nov-2017,"4,886,454,904"
Gupta (Diwakar),Sale,19-May-2009,100
Life Insurance Corporation of India,Acquisition,20-Jan-2010,"71,141,181"
Malhotra (Sanjiv),Acquisition,20-Dec-2018,"18,400"
President of India,Sale,10-Oct-2019,"5,079,775,288"
