,data
Previous close,103.50
Open,104.50
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,103.00 - 105.80
52-week range,65.00 - 152.75
Volume,"10,701,213"
Avg. volume,"16,491,792"
Market cap,472.885B
Beta (5Y monthly),0.71
PE ratio (TTM),5.02
EPS (TTM),20.89
Forward dividend & yield,7.29 (7.04%)
Ex-dividend date,17-Feb-2020
1y target est,434.29
