,data
Previous close,106.40
Open,106.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,103.65 - 107.75
52-week range,60.20 - 175.90
Volume,"23,859,938"
Avg. volume,"32,603,322"
Market cap,394.099B
Beta (5Y monthly),1.95
PE ratio (TTM),N/A
EPS (TTM),-18.00
Forward dividend & yield,7.80 (7.24%)
Ex-dividend date,05-Mar-2020
1y target est,284.86
