,0,1,2
03-Feb-2010,2.5, ,Dividend
23-Sep-2010,5:1, ,Stock split
09-Aug-2010,1.5, ,Dividend
05-May-2011,0.4, ,Dividend
14-Feb-2011,0.5, ,Dividend
13-Feb-2012,0.3, ,Dividend
30-Jul-2012,0.7, ,Dividend
31-Jul-2014,1, ,Dividend
22-May-2015,1.1, ,Dividend
22-Mar-2016,1.1, ,Dividend
31-Jul-2017,1.3, ,Dividend
26-Jul-2019,0.2, ,Dividend
