,Most-recent transaction,Date,Shares owned as of transaction date
Adani (Gautam S & Rajesh S),Other,26-Sep-2019,"799,353,935"
"Adani Tradeline, L.L.P.",Other,26-Sep-2019,"138,193,549"
Afro Asia Trade & Investments Ltd,Other,26-Sep-2019,"89,945,212"
Emerging Markets Investment Fund,Other,26-Sep-2019,"84,179,195"
Flourishing Trade And Investment Ltd,Acquisition,30-Jun-2020,"24,306,696"
Sheth (Kanaiyalal M),Sale,24-Jun-2020,"1,862"
Universal Trade & Investments Ltd,Other,26-Sep-2019,"79,541,248"
Worldwide Emerging Market Holding Ltd,Other,26-Sep-2019,"77,756,181"
