,Most-recent transaction,Date,Shares owned as of transaction date
Balasubramanian (K),Other,22-Apr-2020,"8,283"
Chawla (Ashish),Other,02-Jun-2020,"27,431"
Dalal (Jatin Pravinchandra),Other,20-May-2020,"143,821"
Mohan (R),Other,22-Apr-2020,"64,368"
Neemuchwala (Abidali Z.),Other,09-Jun-2020,"1,649,688"
Sanjiv (K R),Sale,15-Jun-2020,"30,527"
Sharma (kapil),Other,22-Apr-2020,"16,579"
Shenoy (Narayan),Other,22-Apr-2020,"170,505"
