,0,1,2
08-Jul-2010,6, ,Dividend
29-Jun-2011,10, ,Dividend
05-Jul-2012,12, ,Dividend
04-Jul-2013,15, ,Dividend
03-Jul-2014,16, ,Dividend
16-Mar-2016,18, ,Dividend
14-Jul-2016,7, ,Dividend
08-Sep-2016,2:1, ,Stock split
06-Jul-2017,3.6, ,Dividend
11-Jul-2019,6, ,Dividend
