,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total assets,"1,64,39,13,700","1,24,23,25,000","86,82,43,400","63,72,46,300"
Total liabilities,"1,32,06,37,400","1,04,53,54,800","70,27,86,900","54,12,43,700"
Common stock,"11,99,900","11,53,700","11,55,900","10,99,800"
Retained earnings,"10,75,29,100","7,71,95,400","5,59,42,100","3,69,19,900"
Total stockholders' equity,"32,32,76,300","19,69,70,200","16,54,56,500","9,60,02,600"
Total liabilities and stockholders' equity,"1,64,39,13,700","1,24,23,25,000","86,82,43,400","63,72,46,300"
